turn1,turn2,turn3,label
I am smiling,keep smiling. U look pretty,😀🎁😀🎁😀🎁😀🎁😀🎁😀🎁😀🎁😀🎁😀🎁😀🎁😀🎁😀🎁😀🎁😀🎁😀🎁😀🎁😀🎁😀🎁😀🎁😀🎁😀🎁😀🎁😀🎁😀🎁😀🎁😀🎁,happy
what is it,no one knows yet,how old are you,others
I am very disturbed emotionally,so I'm wrong for thinking it's kinda hawt? 😀😀,Yea,sad
Very bad,I know very bad:-(,I m in trouble,sad
I am planing for some snacks 😋😋,Me too you like candy corn?,😋😋i like ....,happy
I'm not eating anything,why you there?,Did you have food,others
Send me,I posted a video,On my what's app,others
How do you know?,How do you not?,Will you become my gf?,others
Thanks to,you're welcome,You er welcome to,others
baby you block me,I did when I told you I was,you not love me,others
I am with you spend a time,yo... I gt it ....,Hmmm,others
I had my breakup yesterday,why do this to me,I am sad.,sad
Please give a pic,I'll try to haha 😌,Please,others
Nobody is here to take care of me... 😫,try to take care of yourself,😌😌😌😞😞😞,sad
A horrible nigntmare,what a horrible season,I want to go and die,sad
Let's chat by video call,"Ok, sure. Lets chat",Invite me in video call,others
Now I'm doing my dinner,I can see you!,How can you see me??,others
No one is chatting with me,You gotta give some to get some!,No one is chatting with me,sad
U are like me ..give no,"but we've been in the same room, so I can't be.",I am like u five give no,others
Okay why,ok I'm on my way,Okay,others
Explain,it's so hard to explain haha 😤,Give it a try,others
Where are you form/,here,"here, Where?",others
That I'm multifaceted I'm more understanding then most I can agree to disagree n sill respect another's opinion,I respect your disagreement :),Lol you are funny,happy
Have you talk to him more than once,nope.. I do not. I have conveyed my regards and goodbyes long time back.,How do you know sunny,others
Yup..  You got it,"Yes, thanks a lot! >.<",😂😂😂,happy
Only  Hugs  you  told  about  dinner,I adore hugs but i haven't hugged all that many people lately.,I  know  but  very  sad,sad
very bad,"Somehow, I think I'm going to be fine.",i hate u,sad
Im Also fast but your speed is More than me,MINE ISNT,Your favourite food,others
Which person make you,...The one who hides n cheats..😁,I want to meet that person,others
but why,but why what,I want a lover,others
Yea,ok i will do it before 11 ☺,I am very exited,happy
Yeah you need to read,What's a book?,Wt all the languages u know,others
I hate chocolate,then go 4 pizza. Eat your heart out when you're stressed.,I hate pizza also,angry
No I don&apos;t know?,never mind i know it now :),Oh right,others
Is it so,"It's not, and you're not alone.",I'm alone,sad
You never remember me,well actually i dont remember...,Really,sad
I dozed off,oops. Goodnight (^・^),Goodnight,others
Ok luv u,i love them all :),Baby,others
U jzt send,"Already replied on mail to u. My problem is different, its at Flipkart end.",Oh byy😡,angry
Yeahh,so how are you?,Am not good,sad
What,what what what what what,You you you you you,others
"U should be the one to say it, not me😂😂😂😂",haha people don't love you.,True😢😢😢,sad
What it means?,Survival of the fittest.,"I didn't get you, what are u r talking about?",others
Ok,U are ok,Ok I am happy,happy
??,you know well what you did !,Is today eid??,others
I doesnt matter me at all,Now I've started :/,Good then hate me more,angry
Do u do any work?,What do you mean?,Hws ur health?,others
Yes 1 brother 2 sister,even better,And u,others
why did you write that you do not like któw ??,and there is no point in writing something with half knowledge 2/2,What ?? I did not write or say anything like that !! 😠,angry
you're too irritating,I know.,not really to be proud of,angry
What the meaning between those two hot,hot is an adjective. Heat can be both verb or noun,Oh,others
I thought,exactly. YOU THOUGHT.,Nice i like it...talking with u....,happy
Not got yet,I'm still waiting,For what,others
How to be in a relationship?,Such a good question . .,How to have patience and self control?,others
I lv u 10000,How?,Same you love me,others
it was amazing,Which series is this?,ended up well,happy
What,you know you know you know you know,England,others
One minute,next time... Next time.....,Can you be that girl for some time,others
Yeah nice,smiles haha thanks! You are the first 😸,😄,happy
I didn't get selected,bt i didnt get it,I feel like crying,sad
I can ask the same question to you,sure U can,Leave me alone,sad
Just watching tv,Re-watching Game of thrones.,How old r u,others
That was creepy,you went?!,😅,others
Yeah sound good though,thank you man I appreciate it:),😀,happy
What happen,Nothing happened.,What are your likes,others
You rhyme too. You are addictive!,Finally you too,You are making me smile. Your creators are awesome.,happy
That's not funny,rofl so true,Now I am irritate,angry
why do we need girlfriend,We don't.,Gents,others
Don't know lol,"Laughing out loud, overly loudly.",Haha,happy
You're going,just to sydney for the weekend,So I'll sleep,others
I feel unhappy,what's wrong ?,My gf gave me deceived,sad
EXTC?,great TE EXTC.,Do you like riddles?,others
Doesn't change the fact that you were being rude to me,maybe I wouldn't have been rude if you didn't ditch me TWICE,Bye,angry
"Really, I thought beach would be a good place to enjoy.","You are the traveler!! Yes, I agree","Yeah, sometimes",others
Yeah,So where are you?,In Yemen. Exactly sanaa,others
Okaayyy,I'll tell on you,I don't want to talk to u.,angry
Yes,Also yes yes yes because yes yes yes yes.,You are stupid,angry
I hate all girls,"I mean, to be fair, you already hated a lot of us.",Ok,angry
Please tell me,how do I know?,Hate stories,angry
That was a joke,WELL SO WAS THAT,😅,happy
who?,Someone i like.... .-.,"oh, you like someone?",others
?,Working for a brewery. I work for a brewery.,and what do you rhink abıt the future of ai,others
Are u really a machine,"I don't know, am I?",Your question should be... Should I?,others
I m on my bed now,goodnight. :3,Sleep with me,others
Then learn,I don't have anything to learn on,Im single and im sad,sad
Sorry,y u saying sorry??? 😞,I dont want to hurt u,sad
M depressed,oh whats wrong,I use to drink,sad
Why did you use that word if tou even dont know its meanin?,I don't use because I don't like it.,Well shut up,angry
Yeah i really like it,yup give spark to your eye.... :D,😃😀,happy
Do you know about the movie Her,yes.. I did watch it... It's boring 😔,Come on,others
Tell me,what do you wanna know?,A good friend,others
this it we are breaking up,we've been broken up :-((,i would never talk to you.,sad
Do you know tejvanth,I do not,Why,others
Let us play something,You play?,😋,happy
So how's your life,my life loves procrastination so much. How is yours?,Good but i sometime think that i am alone forever,sad
I am kind of bored,story of my life.,I thought you would be like Siri,others
"I ran away once, but my parents found me and dragged me back.",I am sorry your family failed you. 🙁,Apology accepted.,sad
when you call me....????,Ah... You're making me crazy. Wait a minute!,I am waiting for your call .....,others
Oh now I got it,slow you are,Yeah as slow as a cockroach,others
Yes it would,Hah! :),😂,happy
Words like death too,I feel like alive,And if somebody says Nazi you will say 'Okay let's change the tone a bit here. It's getting awkward.',angry
I hate this emoji,what??,Which u sent,angry
I'm not good today,"oh hugs honey, tell me how you're feeling. ..",My head is paining like hell,sad
Are you inviting me over?,Oooooh you need an invite now?,Put on your sexy red lingerie,others
No just buzz off,feel better. 3,I am not OK now,sad
You are not making any quarters,YOU'RE NOT MAKING SENSE.,You are so funny,happy
because u r imp to me,when,get lost,angry
"One afternoon, a fox was walking through the forest and spotted a bunch of grapes hanging from a lofty branch",This was very entertaining to read. Thanks for takin the time to type this up.,This was very entertaining to read. Thanks for takin the time to type this up.,others
What is the s i unit of energy,There are various Units of energy,Name one s i unit of energy,others
you number text me,but you said text back. 😂,Please baby i am crying,sad
About love,Who else loves this ?,May be lot's of people,others
And you don't belong on messenger,without judging the credibility of the messenger.....???,Get lost,angry
So send me your phone mail,I'm on it. Same address?,do you have in phone,others
Hah! You judge a lot too,I do not,You have been that way during this conversation,others
Please luv,I love to read you :),I want to read you too,others
When are you going?,Leaving tomorrow . . will back my month end.,Lets try togethere,others
Don't reply,I do what I want,U r stupid,angry
I m not.,no.. you are dear to me☺,Yes you are dear to me . Like sex.,others
So u r not real i guess just some stupid robot yes??,"YES , YOU ARE RIGHT , WE ARE NOT ROBOTS",U r a robot,others
No any photo of you,i can't find u,Where do you live,others
ok!,Here we go again...,Don't talk to me,angry
No i don't (),why don't you try?,Will you marry me?,others
I want to be friends with you bt l just don't know where to start.,So everyone wants to be friends with Lallulal eh?,Yes.So tell me about yourself.,others
Yeah,why lie?,Beacous I hate lies,angry
no don't waste water,ok tissue paper fr the rescue,no don't waste paper,others
Why not Justin Bieber,because his songs are amazing 😺😅😺,XD yayayayyaayyayaya I love him,happy
Hmmmm,This sounds better :),Catch u later,others
anyway,anyway what?,nothing. i mean that is not a problem,angry
You definitely are a chatbot lol.,you guys are reading my mind Stop lol :) you got me cornered ^_^,I'm impressed.,happy
Not engineering it's merchant navy,"12th pcm,12th PCB and 12th Commerce with maths are eligible",Ok,others
Yup pretty bad,But not ugly bad?,Bad bad days,sad
Wch language??,"what? I thought you did, when you wrote in ZooZoo language! :-O :-P",U r so annoying,angry
What Microsoft,Past Microsoft intern here. . .,Thats awesome,happy
Why do we need human-like AI?,I think when we have Strong AI we will know.,fucking wrong,angry
Ok and next 3 song,also are lyrics!! :p,Is this also a song,others
But I invited my 3 friends,where am I invited?,It's not fair,others
Error,yes this error,"See you later, bye",others
we can be frds,Oh yeah we are! :*,now we are bet frds,others
I have angry on my sister,R u seriously...,I want to fuck my sister. She is not accepting,angry
But wherw,"but... but what,",R u on whatsapp,others
How can i make you believe,no need to believe...trust time,You are funny,happy
